F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
8,18,2,1,2,False,159,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
1,9,1,0,0,False,0,False,False,1,False,False,False,False,0,0,False,3,False,False,NomAnaph
18,33,2,1,2,False,223,False,False,1,False,False,False,True,0,1,False,2,False,False,NomAnaph
57,62,8,7,1,False,135,False,False,0,False,False,False,False,0,1,False,5,False,False,NomAnaph
16,25,1,2,0,False,260,False,False,0,False,False,False,False,0,0,False,4,False,False,ClauseAnaph
7,10,1,1,0,False,170,False,False,0,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
7,37,2,1,4,False,206,False,False,1,False,False,False,False,0,12,False,3,False,False,NomAnaph
7,37,2,1,4,False,206,False,False,1,False,False,False,False,0,12,False,3,False,False,NomAnaph
11,21,2,2,1,False,206,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
16,28,3,2,1,False,65,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,70,4,0,8,False,5,False,False,4,False,False,False,False,0,53,False,3,False,False,ClauseAnaph
3,16,1,0,1,False,21,False,False,1,False,False,False,False,0,7,False,3,False,False,ClauseAnaph
1,16,2,0,0,False,0,False,False,2,False,False,False,False,0,4,False,3,False,False,NomAnaph
28,35,4,3,0,False,105,False,False,1,False,False,False,False,0,0,False,2,False,False,NomAnaph
32,33,2,4,0,False,129,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
5,21,2,1,2,False,190,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
5,21,2,1,2,False,190,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
15,58,4,2,6,False,183,False,False,2,False,False,False,True,0,1,False,2,False,False,NomAnaph
